Context,Utterance,Persona,Label
"hi , how are you doing ? i am getting ready to do some cheetah chasing to stay in shape .","my mom was single with 3 boys , so we never left the projects .","i like to remodel homes.",0
"hi , how are you doing ? i am getting ready to do some cheetah chasing to stay in shape .","i try to wear all black every day . it makes me feel comfortable .","i like to remodel homes.",0
"hi , how are you doing ? i am getting ready to do some cheetah chasing to stay in shape .","well nursing stresses you out so i wish luck with sister","i like to remodel homes.",0
"hi , how are you doing ? i am getting ready to do some cheetah chasing to stay in shape .","yeah just want to pick up nba nfl getting old","i like to remodel homes.",0
"hi , how are you doing ? i am getting ready to do some cheetah chasing to stay in shape .","i really like celine dion . what about you ?","i like to remodel homes.",0
"hi , how are you doing ? i am getting ready to do some cheetah chasing to stay in shape .","no . i live near farms .","i like to remodel homes.",0
"hi , how are you doing ? i am getting ready to do some cheetah chasing to stay in shape .","i wish i had a daughter , i am a boy mom . they are beautiful boys though still lucky","i like to remodel homes.",0
"hi , how are you doing ? i am getting ready to do some cheetah chasing to stay in shape .","yeah when i get bored i play gone with the wind my favorite movie .","i like to remodel homes.",0
"hi , how are you doing ? i am getting ready to do some cheetah chasing to stay in shape .","hi how are you ? i am eating dinner with my hubby and 2 kids .","i like to remodel homes.",0
"hi , how are you doing ? i am getting ready to do some cheetah chasing to stay in shape .","you must be very fast . hunting is one of my favorite hobbies .","i like to remodel homes.",1